"","id","condition","ndoors","latency","completion","age","gender"
"1",1,"1-animal",12,135.94,0,49,"female"
"2",2,"1-animal",16,20.55,0,20,"female"
"3",3,"8-animals",39,180,1,39,"female"
"4",4,"1-animal",35,180,1,51,"female"
"5",5,"1-animal",10,68.88,0,47,"female"
"6",6,"1-animal",17,112.77,0,47,"male"
"7",7,"8-animals",38,174.66,0,52,"male"
"8",8,"8-animals",28,142.05,1,39,"male"
"9",9,"8-animals",26,133.19,0,42,"male"
"10",10,"8-animals",31,172.51,1,36,"female"
"11",11,"1-animal",17,85.36,0,43,"female"
"12",12,"1-animal",28,150.9,1,45,"female"
"13",13,"8-animals",30,152.84,0,40,"male"
"14",14,"1-animal",14,56.68,0,42,"female"
"15",15,"8-animals",36,154.57,1,43,"female"
"16",16,"8-animals",26,122.06,1,42,"female"
"17",17,"1-animal",16,94.99,0,38,"male"
"18",18,"1-animal",31,115.2,1,44,"male"
"19",19,"1-animal",18,12.36,0,27,"female"
"20",20,"8-animals",23,136.96,1,46,"female"
"21",21,"8-animals",19,155.46,1,28,"male"
"22",22,"1-animal",16,154.09,1,30,"male"
"23",23,"1-animal",16,141.96,0,29,"male"
"24",24,"1-animal",12,66.3,0,36,"female"
"25",25,"8-animals",16,83.26,0,38,"male"
"26",26,"8-animals",24,152.1,1,35,"male"
"27",27,"8-animals",10,144.25,1,29,"female"
"28",28,"1-animal",20,115.72,0,47,"male"
"29",29,"1-animal",15,63.49,0,44,"female"
"30",30,"1-animal",8,101.02,1,32,"female"
"31",31,"1-animal",20,53.08,0,25,"male"
"32",32,"8-animals",36,155.9,1,44,"female"
"33",33,"8-animals",45,162.14,1,43,"female"
"34",34,"8-animals",4,12.23,0,NA,"female"
"35",35,"8-animals",31,180,1,33,"male"
"36",36,"1-animal",9,13.85,0,32,"female"
"37",37,"8-animals",21,150.03,1,47,"male"
"38",38,"1-animal",13,106.46,0,36,"male"
"39",39,"1-animal",12,66.32,0,44,"male"
"40",40,"1-animal",19,95.97,0,42,"male"
"41",41,"8-animals",21,169.28,1,24,"male"
"42",42,"8-animals",9,27.97,0,27,"male"
"43",43,"8-animals",32,119.38,1,37,"female"
"44",44,"8-animals",9,35.27,0,26,"female"
"45",45,"1-animal",13,88.16,0,45,"female"
"46",46,"8-animals",26,148.01,1,40,"female"
"47",47,"1-animal",8,23.26,0,34,"male"
"48",48,"8-animals",16,124.02,1,35,"female"
"49",49,"1-animal",9,51.44,0,33,"male"
