"","id","condition","ndoors","latency","completion","age"
"1","DR_001","1-animal",22,58,0,39
"2","DR_002","1-animal",19,18,0,47
"3","DR_003","1-animal",29,27,1,40
"4","DR_004","1-animal",22,141,0,42
"5","DR_005","1-animal",26,42,0,43
"6","DR_006","1-animal",11,76,0,41
"7","DR_007","1-animal",25,180,1,43
"8","DR_009","1-animal",5,51,0,41
"9","DR_010","1-animal",12,41,0,39
"10","DR_011","1-animal",24,26,1,46
"11","DR_012","1-animal",21,145,0,39
"12","DR_014","1-animal",5,36,0,48
"13","DR_015","1-animal",22,69,0,48
"14","DR_018","1-animal",21,21,0,37
"15","DR_019","1-animal",17,93,0,37
"16","DR_020","1-animal",32,180,1,42
"17","DR_022","1-animal",18,26,0,39
"18","DR_024","1-animal",28,129,0,42
"19","DR_025","1-animal",30,146,0,41
"20","DR_026","1-animal",11,56,0,43
"21","DR_027","1-animal",32,180,1,39
"22","DR_028","1-animal",32,61,1,38
"23","DR_029","1-animal",11,36,0,43
"24","DR_030","1-animal",10,40,0,40
"25","DR_001","8-animals",30,109,1,39
"26","DR_002","8-animals",32,123,1,47
"27","DR_003","8-animals",31,180,1,40
"28","DR_004","8-animals",21,75,0,42
"29","DR_005","8-animals",30,57,1,43
"30","DR_006","8-animals",22,161,1,41
"31","DR_007","8-animals",31,180,1,43
"32","DR_009","8-animals",6,99,0,41
"33","DR_010","8-animals",14,71,0,39
"34","DR_011","8-animals",35,68,0,46
"35","DR_012","8-animals",23,158,0,39
"36","DR_014","8-animals",29,130,1,48
"37","DR_015","8-animals",33,63,1,48
"38","DR_018","8-animals",24,19,0,37
"39","DR_019","8-animals",10,55,0,37
"40","DR_020","8-animals",35,180,1,42
"41","DR_022","8-animals",31,180,1,39
"42","DR_024","8-animals",18,45,0,42
"43","DR_025","8-animals",34,180,1,41
"44","DR_026","8-animals",11,82,0,43
"45","DR_027","8-animals",35,180,1,39
"46","DR_028","8-animals",33,180,1,38
"47","DR_029","8-animals",30,111,1,43
"48","DR_030","8-animals",14,76,0,40
